tstamp,YyyyMmDd,HhMm,totalGrade,examType,maxGrade
"1516900601474","2018-01-25","07:16",9,"random",10
"1516900810376","2018-01-25","07:20",14,"intro",15
"1516902703695","2018-01-25","07:51",14,"number-theory",15
"1516904266091","2018-01-25","08:17",6,"random",10
"1516908260032","2018-01-25","09:24",0,"random",10
"1516908472817","2018-01-25","09:27",3,"random",10
"1516910381949","2018-01-25","09:59",0,"intro",15
"1516910400025","2018-01-25","10:00",0,"intro",15
"1516910792079","2018-01-25","10:06",12,"intro",15
"1516911471824","2018-01-25","10:17",0,"intro",15
"1516911509235","2018-01-25","10:18",1,"intro",15
"1516912428323","2018-01-25","10:33",1,"intro",15
"1516917495067","2018-01-25","11:58",7,"intro",15
"1516917714824","2018-01-26","12:01",0,"intro",15
"1516923815766","2018-01-26","01:43",0,"intro",15
"1516952038578","2018-01-26","09:33",1,"intro",15
"1516952049694","2018-01-26","09:34",0,"random",10
"1516952052576","2018-01-26","09:34",1,"random",10
"1516952076777","2018-01-26","09:34",0,"random",10
"1516952082160","2018-01-26","09:34",0,"random",10
"1516952106824","2018-01-26","09:35",1,"random",10
"1516952118002","2018-01-26","09:35",1,"random",10
"1516952120096","2018-01-26","09:35",1,"random",10
"1516952146267","2018-01-26","09:35",1,"random",10
"1516952170161","2018-01-26","09:36",0,"random",10
"1516952193912","2018-01-26","09:36",0,"intro",15
"1516952221639","2018-01-26","09:37",0,"random",10
"1516952229580","2018-01-26","09:37",0,"random",10
"1516952235711","2018-01-26","09:37",1,"random",10
"1516952236530","2018-01-26","09:37",1,"random",10
"1516952262549","2018-01-26","09:37",1,"random",10
"1516952265720","2018-01-26","09:37",0,"random",10
"1516952275021","2018-01-26","09:37",1,"random",10
"1516952283068","2018-01-26","09:38",0,"intro",15
"1516952292178","2018-01-26","09:38",1,"random",10
"1516952293500","2018-01-26","09:38",1,"random",10
"1516952295508","2018-01-26","09:38",1,"random",10
"1516952345802","2018-01-26","09:39",0,"random",10
"1516952354142","2018-01-26","09:39",0,"random",10
"1516952438867","2018-01-26","09:40",0,"intro",15
"1516952454973","2018-01-26","09:40",2,"random",10
"1516952512156","2018-01-26","09:41",2,"random",10
"1516952513405","2018-01-26","09:41",1,"random",10
"1516952529237","2018-01-26","09:42",2,"random",10
"1516952548129","2018-01-26","09:42",3,"random",10
"1516952569346","2018-01-26","09:42",5,"intro",15
"1516952643916","2018-01-26","09:44",4,"random",10
"1516952681026","2018-01-26","09:44",1,"random",10
"1516952706687","2018-01-26","09:45",1,"random",10
"1516952780099","2018-01-26","09:46",11,"intro",15
"1516952787803","2018-01-26","09:46",7,"intro",15
"1516952802733","2018-01-26","09:46",2,"random",10
"1516952809775","2018-01-26","09:46",0,"intro",15
"1516952810708","2018-01-26","09:46",2,"random",10
"1516952817297","2018-01-26","09:46",0,"random",10
"1516952818193","2018-01-26","09:46",0,"intro",15
"1516952833587","2018-01-26","09:47",4,"random",10
"1516952847437","2018-01-26","09:47",2,"random",10
"1516952900362","2018-01-26","09:48",1,"random",10
"1516952917930","2018-01-26","09:48",4,"random",10
"1516952926140","2018-01-26","09:48",4,"random",10
"1516952939580","2018-01-26","09:48",2,"random",10
"1516952942222","2018-01-26","09:49",3,"random",10
"1516952942401","2018-01-26","09:49",3,"random",10
"1516952943274","2018-01-26","09:49",2,"random",10
"1516952982673","2018-01-26","09:49",2,"generalizations",15
"1516952992331","2018-01-26","09:49",4,"random",10
"1516952994451","2018-01-26","09:49",4,"random",10
"1516952997335","2018-01-26","09:49",1,"random",10
"1516952997358","2018-01-26","09:49",1,"random",10
"1516952997827","2018-01-26","09:49",4,"random",10
"1516952998040","2018-01-26","09:49",6,"generalizations",15
"1516952999014","2018-01-26","09:49",3,"random",10
"1516952999141","2018-01-26","09:49",4,"random",10
"1516953000257","2018-01-26","09:50",4,"intro",15
"1516953005553","2018-01-26","09:50",4,"random",10
"1516953035739","2018-01-26","09:50",8,"intro",15
"1516953036290","2018-01-26","09:50",2,"random",10
"1516953047028","2018-01-26","09:50",2,"random",10
"1516961680376","2018-01-26","12:14",1,"random",10
"1516961916780","2018-01-26","12:18",7,"random",10
"1516965230286","2018-01-26","01:13",0,"intro",15
"1516971156525","2018-01-26","02:52",10,"intro",15
"1516971648748","2018-01-26","03:00",14,"intro",15
"1516972390186","2018-01-26","03:13",2,"random",10
"1516972514898","2018-01-26","03:15",14,"generalizations",15
"1516972755205","2018-01-26","03:19",13,"intro",15
"1516972950811","2018-01-26","03:22",0,"intro",15
"1516973594140","2018-01-26","03:33",8,"shapes",15
"1516973823312","2018-01-26","03:37",0,"combinatorics",15
"1516977548729","2018-01-26","04:39",1,"intro",15
"1516977896032","2018-01-26","04:44",0,"random",10
"1516978218241","2018-01-26","04:50",0,"random",10
"1516981478309","2018-01-26","05:44",0,"random",10
"1516982736867","2018-01-26","06:05",0,"intro",15
"1516982768464","2018-01-26","06:06",0,"intro",15
"1516984140558","2018-01-26","06:29",0,"generalizations",15
"1516994017588","2018-01-26","09:13",0,"random",10
"1517013001342","2018-01-27","02:30",1,"intro",15
"1517013016267","2018-01-27","02:30",1,"intro",15
"1517013474361","2018-01-27","02:37",9,"intro",15
"1517049182842","2018-01-27","12:33",0,"intro",15
"1517049234925","2018-01-27","12:33",0,"combinatorics",15
"1517059360977","2018-01-27","03:22",0,"intro",15
"1517059374961","2018-01-27","03:22",0,"intro",15
"1517060947788","2018-01-27","03:49",1,"intro",15
"1517061069693","2018-01-27","03:51",1,"intro",15
"1517061593677","2018-01-27","03:59",8,"intro",15
"1517064873016","2018-01-27","04:54",1,"intro",15
"1517064958284","2018-01-27","04:55",1,"intro",15
"1517064998063","2018-01-27","04:56",1,"intro",15
"1517066156504","2018-01-27","05:15",9,"intro",15
"1517066361402","2018-01-27","05:19",0,"intro",15
"1517067526055","2018-01-27","05:38",4,"generalizations",15
"1517067685687","2018-01-27","05:41",4,"generalizations",15
"1517068126456","2018-01-27","05:48",2,"number-theory",15
"1517068135912","2018-01-27","05:48",4,"generalizations",15
"1517068140397","2018-01-27","05:49",0,"generalizations",15
"1517068144321","2018-01-27","05:49",0,"generalizations",15
"1517071251391","2018-01-27","06:40",11,"intro",15
"1517071402304","2018-01-27","06:43",1,"number-theory",15
"1517072008521","2018-01-27","06:53",14,"intro",15
"1517072403382","2018-01-27","07:00",0,"intro",15
"1517072740381","2018-01-27","07:05",3,"random",10
"1517073157817","2018-01-27","07:12",2,"random",10
"1517078963410","2018-01-27","08:49",3,"random",10
"1517084219119","2018-01-27","10:16",10,"intro",15
"1517084440901","2018-01-27","10:20",0,"intro",15
"1517087500940","2018-01-27","11:11",0,"intro",15
"1517135541297","2018-01-28","12:32",0,"intro",15
"1517135608615","2018-01-28","12:33",0,"random",10
"1517141020496","2018-01-28","02:03",2,"random",10
"1517142424529","2018-01-28","02:27",0,"intro",15
"1517146363615","2018-01-28","03:32",5,"intro",15
"1517152856169","2018-01-28","05:20",1,"intro",15
"1517154657073","2018-01-28","05:50",0,"intro",15
"1517155398575","2018-01-28","06:03",0,"intro",15
"1517160023979","2018-01-28","07:20",0,"random",10
"1517160821607","2018-01-28","07:33",1,"random",10
"1517161050119","2018-01-28","07:37",0,"intro",15
"1517164425313","2018-01-28","08:33",3,"intro",15
"1517166916609","2018-01-28","09:15",0,"intro",15
"1517166934947","2018-01-28","09:15",1,"intro",15
